KILLER,VICTIM,UHC,METHOD,TIME,COMMENT,,
,Swampyl,13,burned,1:54:08,,,
IntenseYogurt,belundun,13,shot,2:34:58,,,
Wolfzx99,Shananalovesdem,13,shot,2:34:59,,,
mrdagger17,icedrake25,13,slew,2:37:05,,,
Wolfzx99,meddi3,13,shot,2:50:07,,,
mikecherry,mrdagger17,13,slew,2:50:17,,,
Wolfzx99,Albertc5555,13,slew,2:50:36,,,
Dunkersplatt,IntenseYogurt,13,shot,2:50:46,,,
Dunkersplatt,Wolfzx99,13,shot,2:50:51,,,
XmasGoose,YungSpesh,13,shot,2:55:28,,,
1ottsco,Dunkersplatt,13,slew,2:55:34,,,
XmasGoose,Meyeravi,13,lava,2:55:39,,,
XmasGoose,mikecherry,13,shot,2:55:51,,,
XmasGoose,1ottsco,13,friendlyfire,2:56:01,,,
XmasGoose,xcatieladyx,13,shot,2:57:24,,,
XmasGoose,xcatieladyx,14,slew,23:47:18,,,
seanm105,1ottsco,14,slew,23:48:40,,,
mrdagger17,XmasGoose,14,slew,23:48:53,,,
,belundun,14,lava,0:03:18,,,
Dunkersplatt,Shananalovesdem,14,shot,2:37:48,,,
mrdagger17,Inspyur,14,slew,2:39:29,,,
Dunkersplatt,mrdagger17,14,slew,2:39:35,,,
Dunkersplatt,seanm105,14,slew,2:40:01,,,
Dunkersplatt,IntenseYogurt,14,shot,2:40:05,,,
mikecherry,_pau1,14,shot,2:44:05,,,
mikecherry,Dunkersplatt,14,slew,2:46:38,,,
Dunkersplatt,mikecherry,14,burned,2:46:40,,,
Albertc5555,SKILLVINIK,14,friendlyfire,2:47:14,,,
YungSpesh,meddi3,14,lava,2:47:17,,,
Albertc5555,YungSpesh,14,burned,2:47:22,,,
,Swampyl,15,creeper,0:44:54,,,
XmasGoose,mrdagger17,15,slew,0:53:04,,,
seanm105,SKILLVINIK,15,shot,1:08:28,,,
IntenseYogurt,damonsterwolf,15,slew,1:09:05,,,
IntenseYogurt,XmasGoose,15,slew,1:12:03,,,
,seanm105,15,fell,1:18:08,,,
IntenseYogurt,mikecherry,15,slew,1:49:32,,,
icedrake25,Inspyur,15,shot,2:13:00,,,
1ottsco,belundun,15,shot,2:23:53,,,
,IntenseYogurt,15,fell,2:28:02,,,
1ottsco,Shananalovesdem,15,shot,2:28:58,,,
1ottsco,icedrake25,15,shot,2:29:00,,,
seanm105,belundun,16,slew,1:31:31,,,
,mrdagger17,16,skeleton,1:36:19,,,
,DemonicFish,16,zombie,1:52:32,,,
,Inspyur,16,creeper,1:53:01,,,
icedrake25,1ottsco,16,slew,2:22:06,,,
Dunkersplatt,icedrake25,16,slew,2:22:07,,,
IntenseYogurt,SKILLVINIK,16,shot,2:55:55,,,
kanighits,IntenseYogurt,16,lava,2:56:26,,,
mikecherry,seanm105,16,slew,2:56:27,,,
,Wolfzx99,16,zombie,2:58:07,,,
,kanighits,16,enderman,3:06:21,,,
mikecherry,Dunkersplatt,16,slew,3:06:55,,,
mrdagger17,1ottsco,17,slew,0:17:39,,,
Swampyl,mmnickymm,17,slew,0:19:04,,,
,meddi3,17,burned,0:26:16,,,
,DemonicFish,17,burned,0:36:27,,,
,_pau1,17,lava,0:38:32,,,
Albertc5555,seanm105,17,slew,1:30:22,,,
,damonsterwolf,17,creeper,1:34:04,,,
,mrdagger17,17,fell,2:00:18,,,
Albertc5555,XmasGoose,17,shot,2:04:13,,,
IntenseYogurt,MacroBomber,17,shot,2:04:24,,,
Swampyl,Mad_Quake,17,shot,2:04:35,,,
IntenseYogurt,StereoTypicaly,17,shot,2:05:01,,,
Dunkersplatt,Nova_MC,17,shot,2:05:32,,,
Dunkersplatt,SKILLVINIK,17,slew,2:09:15,,,
Dunkersplatt,Swampyl,17,shot,2:11:00,,,
,mikecherry,17,skeleton,2:14:15,,,
Dunkersplatt,icedrake25,17,shot,2:14:45,,,
belundun,Dunkersplatt,17,slew,2:14:59,,,
YungSpesh,belundun,17,shot,2:15:30,,,
YungSpesh,xcatieladyx,17,friendlyfire,2:20:29,,,
YungSpesh,IntenseYogurt,17,slew,2:20:35,,,
Wolfzx99,damonsterwolf,18,slew,0:55:09,,,
mrdagger17,mmnickymm,18,slew,0:55:36,,,
seanm105,XmasGoose,18,slew,0:55:53,,,
1ottsco,IntenseYogurt,18,slew,0:55:59,,,
Wolfzx99,1ottsco,18,slew,0:56:35,,,
belundun,mrdagger17,18,slew,1:00:29,,,
Shananalovesdem,seanm105,18,slew,1:00:52,,,
,Wolfzx99,18,fell,1:13:29,,,
,mikecherry,18,burned,1:16:37,,,
,Meyeravi,18,zombie,1:17:16,,,
,YungSpesh,18,lava,1:17:47,,,
Dunkersplatt,icedrake25,18,burned,2:17:13,,,
Shananalovesdem,Dunkersplatt,18,slew,2:17:21,,,
Albertc5555,belundun,18,slew,2:17:48,,,
meddi3,SKILLVINIK,18,friendlyfire,2:20:19,,,
Shananalovesdem,meddi3,18,slew,2:21:48,,,
Shananalovesdem,Albertc5555,18,slew,2:22:04,,,
IntenseYogurt,XmasGoose,19,slew,0:55:19,,,
Dunkersplatt,seanm105,19,slew,0:57:02,,,
Dunkersplatt,IntenseYogurt,19,slew,0:57:03,,,
mrdagger17,xcatieladyx,19,slew,0:57:11,,,
Dunkersplatt,mrdagger17,19,slew,0:57:18,,,
,StereoTypicaly,19,blaze,1:12:07,,,
meddi3,damonsterwolf,19,shot,2:17:42,,,
Albertc5555,SKILLVINIK,19,slew,2:17:58,,,
Albertc5555,kanighits,19,slew,2:18:47,,,
Dunkersplatt,PredatedMeteor,19,slew,2:55:58,,,
Nova_MC,YungSpesh,19,slew,2:56:03,,,
MacroBomber,Dunkersplatt,19,slew,2:56:32,,,
mikecherry,Nova_MC,19,slew,3:07:40,,,
TheUltimateJon,belundun,19,fell,3:10:01,,,
mikecherry,MacroBomber,19,shot,3:26:29,,,
ninjaturtle103,icedrake25,19,shot,3:26:32,,,
TheUltimateJon,Shananalovesdem,19,shot,3:28:23,,,
ninjaturtle103,meddi3,19,shot,3:45:11,,,
DezBFrag,mikecherry,19,slew,3:45:18,,,
DezBFrag,Albertc5555,19,slew,3:45:38,,,
Dunkersplatt,SKILLVINIK,20,slew,0:56:15,,,
Dunkersplatt,kanighits,20,slew,0:56:19,,,
Dunkersplatt,XmasGoose,20,slew,0:56:33,,,
Dunkersplatt,1ottsco,20,slew,0:56:35,,,
,mikecherry,20,zombie,1:13:31,,,
,Shananalovesdem,20,zombie,1:19:40,,,
mmnickymm,Dunkersplatt,20,slew,1:21:03,,,
mmnickymm,belundun,20,slew,1:22:32,,,
YungSpesh,mmnickymm,20,slew,1:27:09,,,
,mrdagger17,20,lava,2:21:09,,,
IntenseYogurt,YungSpesh,20,lava,3:01:02,,,
ninjaturtle103,Albertc5555,20,lava,3:02:41,,,
DezBFrag,meddi3,20,slew,3:02:44,,,
Wolfzx99,EldritchKoi,20,slew,3:03:01,,,
IntenseYogurt,YoFumoMarihuana,20,burned,3:03:07,,,
DezBFrag,Wolfzx99,20,burned,3:03:23,,,
ninjaturtle103,seanm105,20,slew,3:03:24,,,
ninjaturtle103,IntenseYogurt,20,slew,3:03:36,,,
,seanm105,21,zombie,1:06:58,,,
,Wolfzx99,21,zombie,1:07:05,,,
,YoFumoMarihuana,21,suffocated,2:04:47,,,
XmasGoose,Albertc5555,21,shot,2:11:05,,,
,Tran_1230,21,suffocated,2:15:04,,,
,ToaNuparu,21,piglin,2:21:24,,,
,meddi3,21,creeper,2:22:19,,,
,mrdagger17,21,zombie,2:38:01,,,
,mikecherry,21,fell,2:41:44,,,
ninjaturtle103,mmnickymm,21,shot,3:02:52,,,
TheUltimateJon,XmasGoose,21,shot,3:06:37,,,
kanighits,Overtray,21,shot,3:08:13,,,
kanighits,YungSpesh,21,shot,3:10:05,,,
Dunkersplatt,ninjaturtle103,21,shot,3:10:59,,,
Dunkersplatt,TheUltimateJon,21,lava,3:14:18,,,
,kanighits,21,drowned,3:14:47,,,
,ToaNuparu,22,fell,1:20:29,,,
Wolfzx99,mikecherry,22,shot,1:44:16,,,
mikecherry,Albertc5555,22,friendlyfire,1:44:16,,,
Dunkersplatt,Tran_1230,22,slew,2:01:59,,,
YungSpesh,Shananalovesdem,22,slew,2:02:26,,,
Dunkersplatt,belundun,22,slew,2:02:49,,,
ninjaturtle103,mmnickymm,22,shot,2:57:22,,,
ninjaturtle103,SKILLVINIK,22,slew,2:58:18,,,
ninjaturtle103,1ottsco,22,slew,2:58:18,,,
ninjaturtle103,XmasGoose,22,slew,2:58:27,,,
Dunkersplatt,ninjaturtle103,22,fell,2:59:11,,,
Dunkersplatt,babar103,22,fell,2:59:11,,,
xcatieladyx,DezBFrag,22,slew,2:59:15,,,
Dunkersplatt,TheUltimateJon,22,slew,2:59:19,,,
St33n3r,Wolfzx99,22,shot,3:05:30,,,
YungSpesh,seanm105,22,slew,3:07:00,,,
mrdagger17,Meyeravi,22,hot,3:08:43,,,
IntenseYogurt,St33n3r,22,shot,3:10:11,,,
xcatieladyx,mrdagger17,22,shot,3:12:12,,,
YungSpesh,IntenseYogurt,22,shot,3:12:54,,,
Albertc5555,mmnickymm,23,slew,1:04:50,,,
,ToaNuparu,23,slew,1:18:55,,,
,Tran_1230,23,fell,1:21:52,,,
mikecherry,1ottsco,23,slew,1:34:28,,,
mikecherry,yuormom,23,lava,1:34:51,,,
mikecherry,YungSpesh,23,lava,1:35:11,,,
,Albertc5555,23,skeleton,1:35:16,,,
icedrake25,Wolfzx99,23,slew,1:59:56,,,
,mikecherry,23,drowned,2:05:02,,,
IntenseYogurt,belundun,23,shot,2:39:50,,,
mrdagger17,icedrake25,23,slew,2:40:10,,,
seanm105,Shananalovesdem,23,slew,2:40:15,,,
Dunkersplatt,IntenseYogurt,23,shot,2:41:01,,,
St33n3r,mrdagger17,23,shot,2:41:07,,,
seanm105,xcatieladyx,23,slew,2:42:17,,,
seanm105,Dunkersplatt,23,slew,2:42:31,,,
Dunkersplatt,seanm105,23,fell,2:42:32,,,
Tran_1230,icedrake25,24,shot,2:33:50,,,
Tran_1230,Wolfzx99,24,friendlyfire,2:34:43,,,
Tran_1230,belundun,24,shot,2:34:46,,,
seanm105,Shananalovesdem,24,shot,2:34:47,,,
Dunkersplatt,ToaNuparu,24,shot,2:37:49,,,
seanm105,Dunkersplatt,24,shot,2:41:41,,,
seanm105,YungSpesh,24,shot,2:41:42,,,
St33n3r,Tran_1230,24,shot,2:42:14,,,
St33n3r,seanm105,24,shot,2:44:00,,,
,Shananalovesdem,25,fell,1:05:09,,,
,Tran_1230,25,blaze,1:19:38,,,
,brassline,25,burned,1:29:03,,,
,mikecherry,25,fell,1:36:13,,,
Koi_Pond,icedrake25,25,friendlyfire,2:28:32,,,
Koi_Pond,1ottsco,25,slew,2:28:35,,,
Koi_Pond,ToaNuparu,25,slew,2:43:46,,,
Koi_Pond,St33n3r,25,slew,2:43:54,,,
belundun,Dunkersplatt,25,slew,2:43:55,,,
Koi_Pond,mrdagger17,25,burned,2:44:25,,,
IntenseYogurt,belundun,25,slew,2:44:57,,,
Koi_Pond,seanm105,25,lava,2:45:21,,,
Koi_Pond,Wolfzx99,25,slew,2:45:43,,,
IntenseYogurt,Koi_Pond,25,slew,2:45:46,,,
IntenseYogurt,Albertc5555,26,slew,0:55:46,,,
YungSpesh,mikecherry,26,slew,0:57:02,,,
,Dunkersplatt,26,lava,1:58:03,,,
1ottsco,ToaNuparu,26,shot,2:05:08,,,
1ottsco,YungSpesh,26,shot,2:05:12,,,
Overtray,mrdagger17,26,shot,2:57:05,,,
1ottsco,Tran_1230,26,shot,2:58:24,,,
XmasGoose,seanm105,26,shot,2:59:17,,,
1ottsco,IntenseYogurt,26,shot,3:01:48,,,
Dunkersplatt,Koi_Pond,27,slew,0:58:53,,,
YungSpesh,ZenStryk,27,slew,0:58:56,,,
,XmasGoose,27,creeper,1:02:01,,,
,Tran_1230,27,ghast,1:20:21,,,
seanm105,mikecherry,27,fell,1:40:19,,,
1ottsco,seanm105,27,slew,1:54:07,,,
,1ottsco,27,wolf,1:55:20,,,
Dunkersplatt,ToaNuparu,27,slew,2:35:07,,,
Dunkersplatt,mrdagger17,27,slew,2:35:11,,,
Dunkersplatt,Shananalovesdem,27,slew,2:44:55,,,
YungSpesh,belundun,27,shot,2:45:00,,,
IntenseYogurt,YungSpesh,28,slew,0:53:58,,,
seanm105,Dunkersplatt,28,slew,0:54:58,,,
Wolfzx99,Tran_1230,28,slew,0:55:22,,,
,ToaNuparu,28,zombie,1:16:01,,,
,Wolfzx99,28,creeper,1:36:25,,,
,XmasGoose,28,creeper,1:57:39,,,
seanm105,mrdagger17,28,shot,2:40:24,,,
Albertc5555,seanm105,28,shot,3:04:07,,,
mikecherry,IntenseYogurt,28,shot,3:09:18,,,
meddi3,icedrake25,28,shot,3:09:28,,,
Albertc5555,ZenStryk,28,shot,3:10:37,,,
meddi3,Koi_Pond,28,shot,3:10:48,,,
belundun,Albertc5555,28,slew,3:11:06,,,
belundun,meddi3,28,shot,3:11:19,,,
mikecherry,belundun,28,slew,3:11:53,,,
mikecherry,Shananalovesdem,28,slew,3:12:04,,,
